row_type,hypothesis_id,symbol,asset_class,state,horizon_bars,segment,partition,reason_signature,momentum_state,sampling_view,count,sample_count,mean_forward_return,median_forward_return,min_forward_return,max_forward_return,positive_count,negative_count,zero_count,episode_count,mean_delta,median_delta,delta_reference,length_min,length_median,length_max,share_largest_episode,share_three_largest,mean_delta_sign,median_delta_sign,timestamp,bars_since_previous_cross,status_h1,return_h1,status_h5,return_h5,status_h20,return_h20
episode_summary,trend_crossover,QQQ,equity,neutral,,,,,,,2466,,,,,,,,,51,,,,4,33.0,174,0.0705596107055961,0.18491484184914841,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,neutral,1,,,,,episode_start,51,51,0.0021875160741656957,0.0031987612659900577,-0.026195777415583876,0.018388672966769937,33,18,0,51,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,neutral,5,,,,,episode_start,51,51,0.0010611143719392161,0.0012684640991533769,-0.04970301474365724,0.049131668135139694,26,25,0,51,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,neutral,20,,,,,episode_start,51,51,0.013736229754327037,0.020730627482405062,-0.11140129264784882,0.10148833740452257,33,18,0,51,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,IWM,equity,bullish,,,,,,,1580,,,,,,,,,32,,,,11,33.0,153,0.09683544303797469,0.23734177215189872,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,bullish,1,,,,,episode_start,32,32,0.002025266157370618,0.0008898728700602598,-0.02191353171181043,0.0300676527303112,19,13,0,32,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,bullish,5,,,,,episode_start,32,32,0.0030276115452171244,0.003176642087050374,-0.044239714570481814,0.04871171919538475,18,14,0,32,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,bullish,20,,,,,episode_start,32,32,0.012868474327041027,0.003580597259880136,-0.0974038197444036,0.14074076214399445,20,12,0,32,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,IWM,equity,bearish,,,,,,,850,,,,,,,,,27,,,,2,23.0,78,0.09176470588235294,0.2564705882352941,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,bearish,1,,,,,episode_start,27,27,0.000723933879424611,-0.00025399024782069013,-0.01623688635598064,0.026301944799259847,13,14,0,27,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,bearish,5,,,,,episode_start,27,27,-0.003344654213542246,0.002230654389024256,-0.08166921605743183,0.03019485835252378,17,10,0,27,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,bearish,20,,,,,episode_start,27,27,0.005139240621023489,0.026243058819358067,-0.30569882969316575,0.09907671827730868,17,10,0,27,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,IWM,equity,neutral,,,,,,,86,,,,,,,,,51,,,,1,1.0,8,0.09302325581395349,0.22093023255813954,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,neutral,1,,,,,episode_start,51,51,-0.002118024414693547,-0.002291361069746811,-0.023814484487480247,0.020705529630176578,22,29,0,51,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,neutral,5,,,,,episode_start,51,51,0.000986893521555722,0.005725354251034931,-0.09594710688703456,0.060931330769777414,30,21,0,51,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,IWM,equity,neutral,20,,,,,episode_start,51,51,0.006842185634814062,0.019740563214204476,-0.3735326755003485,0.1430971863066921,31,20,0,51,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,IWM,equity,bullish,,,,,,,874,,,,,,,,,130,,,,1,3.0,59,0.06750572082379863,0.17276887871853547,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,bullish,1,,,,,episode_start,130,130,-0.0013031079863965258,-5.6931901511070304e-05,-0.032558619481851125,0.017836570739746094,64,66,0,130,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,bullish,5,,,,,episode_start,130,130,-0.0004350632323859913,-5.3465063106217237e-05,-0.08028818688049999,0.09477018667665416,65,65,0,130,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,bullish,20,,,,,episode_start,130,130,-0.0028287527459594218,0.00454960285292394,-0.25080351117423383,0.17391298243150755,72,57,1,130,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,IWM,equity,bearish,,,,,,,382,,,,,,,,,71,,,,1,2.0,32,0.08376963350785341,0.19633507853403143,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,bearish,1,,,,,episode_start,71,71,0.000743245270910193,0.00030909965035053055,-0.03821072206875076,0.026301944799259847,36,35,0,71,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,bearish,5,,,,,episode_start,71,71,0.001228113816166791,0.0069527249735990004,-0.08515428652658485,0.0759426925160287,40,31,0,71,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,bearish,20,,,,,episode_start,71,71,0.013369545859470613,0.026460628772379646,-0.3853064305954673,0.15971071621509636,49,22,0,71,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,IWM,equity,neutral,,,,,,,1260,,,,,,,,,201,,,,1,4.0,36,0.02857142857142857,0.07777777777777778,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,neutral,1,,,,,episode_start,201,201,0.00031269085000418083,0.0010810819339475142,-0.034329094280392325,0.024165872218735007,110,91,0,201,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,neutral,5,,,,,episode_start,201,201,-0.0007345565913771952,0.0010533949131921183,-0.10927788236400093,0.09171589657507906,105,96,0,201,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,IWM,equity,neutral,20,,,,,episode_start,201,201,0.0033506685974386777,0.007111227971626777,-0.3735326755003485,0.1633902976568924,118,83,0,201,,,,,,,,,,,,,,,,,,
episode_summary,trend_crossover,IWM,equity,bullish,,,,,,,29,,,,,,,,,29,,,,1,1.0,1,0.034482758620689655,0.10344827586206896,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,bullish,1,,,,,episode_start,29,29,0.0007515671630101618,0.001207856672498453,-0.017531429762851936,0.019411595605267618,16,13,0,29,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,bullish,5,,,,,episode_start,29,29,0.0055548823825628,0.010058610355968556,-0.04530123560562793,0.05500591462756832,18,11,0,29,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,bullish,20,,,,,episode_start,29,29,0.013204337498374952,-0.0025002725363626466,-0.0974038197444036,0.1430971863066921,14,15,0,29,,,,,,,,,,,,,,,,,,
episode_summary,trend_crossover,IWM,equity,bearish,,,,,,,30,,,,,,,,,30,,,,1,1.0,1,0.03333333333333333,0.1,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,bearish,1,,,,,episode_start,30,30,0.00026106870056645434,0.0001841978488994478,-0.03821072206875076,0.026301944799259847,16,14,0,30,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,bearish,5,,,,,episode_start,30,30,-0.002922314684975776,0.004640042137410316,-0.08166921605743183,0.060931330769777414,18,12,0,30,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,bearish,20,,,,,episode_start,30,30,0.005044309051012771,0.025347014997750605,-0.3853064305954673,0.1302983974016656,19,11,0,30,,,,,,,,,,,,,,,,,,
episode_summary,trend_crossover,IWM,equity,neutral,,,,,,,2457,,,,,,,,,59,,,,1,29.0,155,0.06308506308506308,0.15832315832315833,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,neutral,1,,,,,episode_start,59,59,-0.0008901361611131708,-0.0018644037939742342,-0.022467519033291805,0.0300676527303112,24,35,0,59,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,neutral,5,,,,,episode_start,59,59,-0.000837494407533487,0.002230654389024256,-0.08161899865182975,0.04871171919538475,33,26,0,59,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,IWM,equity,neutral,20,,,,,episode_start,59,59,0.008273520786915338,0.008343319491691537,-0.30569882969316575,0.15381060579594807,36,23,0,59,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,TLT,treasury,bullish,,,,,,,1161,,,,,,,,,27,,,,1,34.0,135,0.11627906976744186,0.2652885443583118,,,,,,,,,,
episode_start,trend_alignment,TLT,treasury,bullish,1,,,,,episode_start,27,27,3.834650850112167e-05,-0.0010241649185016577,-0.011003304769109268,0.011074196746447829,12,15,0,27,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,TLT,treasury,bullish,5,,,,,episode_start,27,27,0.0023646972263000198,0.0022069615619944027,-0.020366614934427152,0.029789531795141544,17,10,0,27,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,TLT,treasury,bullish,20,,,,,episode_start,27,27,0.0007290738207513351,-0.0035936167317279777,-0.07878045345200524,0.09058693276551932,12,15,0,27,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,TLT,treasury,bearish,,,,,,,1243,,,,,,,,,29,,,,1,29.0,166,0.1335478680611424,0.3515687851971038,,,,,,,,,,
episode_start,trend_alignment,TLT,treasury,bearish,1,,,,,episode_start,29,29,-3.1666610142475936e-05,0.000539814889781498,-0.010090911169373107,0.012982234018479089,15,14,0,29,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,TLT,treasury,bearish,5,,,,,episode_start,29,29,-0.0038288949534257544,0.00042172434480192145,-0.033679618709407166,0.022958689341463945,15,14,0,29,,,,,,,,,,,,,,,,,,
