row_type,hypothesis_id,hypothesis_version,hypothesis_fingerprint,symbol,horizon_bars,spec_fingerprint,state,reason_signature,sample_count,mean_forward_return,median_forward_return,min_forward_return,max_forward_return,positive_count,negative_count,zero_count,episode_count,mean_delta_vs_matched_unconditional,median_delta_vs_matched_unconditional,first_evaluated_timestamp,last_evaluated_timestamp,total_observations,bullish_count,bearish_count,neutral_count,insufficient_data_count,evaluated,insufficient_future_data,no_reference_bar,ineligible,bars_fetched,warmup_bars,observation_bars,outcome_buffer_bars
state,trend_alignment,1,650add07184f8440,SPY,5,b586481caf972d58,neutral,,83,-0.0005854079633850741,0.0043442776562607754,-0.10435693934476165,0.03374015527593688,55,28,0,39,-0.0026825290021010913,0.0005970717489893751,2015-01-07T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
neutral_reason,trend_alignment,1,650add07184f8440,SPY,5,b586481caf972d58,neutral,trend_margin_below_threshold,83,-0.0005854079633850741,0.0043442776562607754,-0.10435693934476165,0.03374015527593688,55,28,0,39,-0.0026825290021010913,0.0005970717489893751,2015-01-07T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,trend_alignment,1,650add07184f8440,SPY,20,a040ca488aa3f51f,all,,2516,0.009315311305321278,0.015199267558811735,-0.3117552779281434,0.23401548413671724,1689,827,0,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,SPY,20,a040ca488aa3f51f,bullish,,1709,0.00618879428271334,0.013607798752205635,-0.3117552779281434,0.11515067720945193,1147,562,0,26,-0.0031265170226079386,-0.0015914688066061,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,SPY,20,a040ca488aa3f51f,bearish,,724,0.017481809903576343,0.021107020066934656,-0.19289794403109595,0.23401548413671724,493,231,0,23,0.008166498598255065,0.005907752508122921,2015-01-12T05:00:00+00:00,2024-08-30T04:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,SPY,20,a040ca488aa3f51f,neutral,,83,0.0024559451185779293,0.008427074241805776,-0.1580099173158248,0.0634368082995802,49,34,0,39,-0.006859366186743349,-0.006772193317005959,2015-01-07T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
neutral_reason,trend_alignment,1,650add07184f8440,SPY,20,a040ca488aa3f51f,neutral,trend_margin_below_threshold,83,0.0024559451185779293,0.008427074241805776,-0.1580099173158248,0.0634368082995802,49,34,0,39,-0.006859366186743349,-0.006772193317005959,2015-01-07T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,momentum_in_trend_context,1,6589cb8021b76574,SPY,1,83e9dabf9b4e27de,all,,2516,0.00018713442415378942,0.0005052889501334645,-0.05661153587863332,0.047994072837921564,1356,1146,14,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,1,83e9dabf9b4e27de,bullish,,1189,0.00015827996635936934,0.00045493509434946233,-0.034835954540506475,0.030822530891824185,645,537,7,103,-2.885445779442008e-05,-5.03538557840022e-05,2015-02-17T05:00:00+00:00,2024-12-17T05:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,1,83e9dabf9b4e27de,bearish,,279,0.0011319513750022644,0.0013726276906806945,-0.05661153587863332,0.047994072837921564,153,126,0,63,0.0009448169508484751,0.0008673387405472299,2015-01-13T05:00:00+00:00,2024-05-01T04:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,1,83e9dabf9b4e27de,neutral,,1048,-3.165944890838527e-05,0.0005008547064004887,-0.038729914945676236,0.036484374080576254,558,483,7,167,-0.0002187938730621747,-4.434243732975851e-06,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,1,83e9dabf9b4e27de,neutral,"fast_above_slow,momentum_depressed,momentum_contradicts_trend",192,0.0010628102775440407,0.0029571932572515225,-0.038729914945676236,0.036484374080576254,116,74,2,77,0.0008756758533902513,0.002451904307118058,2015-01-05T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,1,83e9dabf9b4e27de,neutral,"fast_below_slow,momentum_elevated,momentum_contradicts_trend",215,-7.92348893415726e-05,0.0001328084478733338,-0.02916979293608557,0.01239775657575426,110,103,2,46,-0.000266369313495362,-0.00037248050226013074,2015-01-22T05:00:00+00:00,2024-08-30T04:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,1,83e9dabf9b4e27de,neutral,momentum_midrange,641,-0.0003435306935039087,0.00021264321945846376,-0.034814478355343126,0.03029997688806918,332,306,3,245,-0.0005306651176576981,-0.00029264573067500077,2015-01-02T05:00:00+00:00,2024-12-27T05:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,momentum_in_trend_context,1,6589cb8021b76574,SPY,5,b586481caf972d58,all,,2516,0.0020971210387160173,0.0037472059072714003,-0.15735668296758132,0.11762305171795329,1507,1006,3,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,5,b586481caf972d58,bullish,,1189,0.0016396199639147238,0.003218094887826428,-0.11315465262750735,0.054314223053589794,728,459,2,103,-0.00045750107480129355,-0.0005291110194449722,2015-02-17T05:00:00+00:00,2024-12-17T05:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,5,b586481caf972d58,bearish,,279,0.005845028069400856,0.009625102577706546,-0.15735668296758132,0.11762305171795329,168,111,0,63,0.0037479070306848388,0.005877896670435145,2015-01-13T05:00:00+00:00,2024-05-01T04:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,5,b586481caf972d58,neutral,,1048,0.0016184022566336387,0.004275265257868699,-0.11395796127196078,0.06915884124022864,611,436,1,167,-0.0004787187820823786,0.0005280593505972986,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,5,b586481caf972d58,neutral,"fast_above_slow,momentum_depressed,momentum_contradicts_trend",192,0.007172453404996383,0.00730249698347385,-0.11395796127196078,0.06689408899943938,133,59,0,77,0.0050753323662803655,0.0035552910762024492,2015-01-05T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,5,b586481caf972d58,neutral,"fast_below_slow,momentum_elevated,momentum_contradicts_trend",215,0.0034178479207613763,0.005221677198676167,-0.05115490348871932,0.04298698159964531,138,77,0,46,0.001320726882045359,0.0014744712914047664,2015-01-22T05:00:00+00:00,2024-08-30T04:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,5,b586481caf972d58,neutral,momentum_midrange,641,-0.0006487719060389205,0.001684746587319541,-0.10435693934476165,0.06915884124022864,340,300,1,245,-0.0027458929447549377,-0.0020624593199518593,2015-01-02T05:00:00+00:00,2024-12-27T05:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,momentum_in_trend_context,1,6589cb8021b76574,SPY,20,a040ca488aa3f51f,all,,2516,0.009315311305321278,0.015199267558811735,-0.3117552779281434,0.23401548413671724,1689,827,0,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,20,a040ca488aa3f51f,bullish,,1189,0.004995350017379164,0.011755796872006119,-0.2893941880159001,0.11317770986984144,774,415,0,103,-0.004319961287942114,-0.0034434706868056164,2015-02-17T05:00:00+00:00,2024-12-17T05:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,20,a040ca488aa3f51f,bearish,,279,0.02499809973619862,0.02558972544865079,-0.19289794403109595,0.23401548413671724,188,91,0,63,0.01568278843087734,0.010390457889839055,2015-01-13T05:00:00+00:00,2024-05-01T04:00:00+00:00,,,,,,,,,,,,,
state,momentum_in_trend_context,1,6589cb8021b76574,SPY,20,a040ca488aa3f51f,neutral,,1048,0.01004139527397433,0.01773708495715043,-0.3117552779281434,0.18239372734417758,727,321,0,167,0.0007260839686530508,0.002537817398338693,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,20,a040ca488aa3f51f,neutral,"fast_above_slow,momentum_depressed,momentum_contradicts_trend",192,0.008174748395205468,0.02261387882230781,-0.3117552779281434,0.10935731424404738,138,54,0,77,-0.0011405629101158103,0.007414611263496074,2015-01-05T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,20,a040ca488aa3f51f,neutral,"fast_below_slow,momentum_elevated,momentum_contradicts_trend",215,0.01341914500263079,0.020820250331152534,-0.12271433345012539,0.08242842990793853,159,56,0,46,0.004103833697309512,0.005620982772340799,2015-01-22T05:00:00+00:00,2024-08-30T04:00:00+00:00,,,,,,,,,,,,,
neutral_reason,momentum_in_trend_context,1,6589cb8021b76574,SPY,20,a040ca488aa3f51f,neutral,momentum_midrange,641,0.009467573135226252,0.016146576733309326,-0.2919477852327189,0.18239372734417758,430,211,0,245,0.00015226182990497363,0.0009473091744975903,2015-01-02T05:00:00+00:00,2024-12-27T05:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,trend_crossover,1,f1126ca778e6f7ce,SPY,1,83e9dabf9b4e27de,all,,2516,0.00018713442415378942,0.0005052889501334645,-0.05661153587863332,0.047994072837921564,1356,1146,14,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_crossover,1,f1126ca778e6f7ce,SPY,1,83e9dabf9b4e27de,bullish,,25,0.000885358170759174,0.0012544970173025138,-0.009225294805052964,0.013337337118619619,15,10,0,25,0.0006982237466053846,0.0007492080671690493,2015-02-17T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
state,trend_crossover,1,f1126ca778e6f7ce,SPY,1,83e9dabf9b4e27de,bearish,,25,0.0029831942587572025,0.0018090436491438044,-0.016654556901344097,0.02201747792330533,16,9,0,25,0.002796059834603413,0.00130375469901034,2015-01-08T05:00:00+00:00,2024-08-09T04:00:00+00:00,,,,,,,,,,,,,
state,trend_crossover,1,f1126ca778e6f7ce,SPY,1,83e9dabf9b4e27de,neutral,,2466,0.00015170981363869617,0.0004953997801646626,-0.05661153587863332,0.047994072837921564,1325,1127,14,50,-3.542461051509325e-05,-9.889169968801959e-06,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,trend_crossover,1,f1126ca778e6f7ce,SPY,1,83e9dabf9b4e27de,neutral,relationship_unchanged,2466,0.00015170981363869617,0.0004953997801646626,-0.05661153587863332,0.047994072837921564,1325,1127,14,50,-3.542461051509325e-05,-9.889169968801959e-06,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,trend_crossover,1,f1126ca778e6f7ce,SPY,5,b586481caf972d58,all,,2516,0.0020971210387160173,0.0037472059072714003,-0.15735668296758132,0.11762305171795329,1507,1006,3,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_crossover,1,f1126ca778e6f7ce,SPY,5,b586481caf972d58,bullish,,25,0.0006508129762274528,0.0025591477986508515,-0.04752737403512497,0.021688683428193745,16,9,0,25,-0.0014463080624885646,-0.0011880581086205488,2015-02-17T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
state,trend_crossover,1,f1126ca778e6f7ce,SPY,5,b586481caf972d58,bearish,,25,-0.003864463431629508,0.006348915634953434,-0.10435693934476165,0.03762560558432648,14,11,0,25,-0.005961584470345525,0.0026017097276820333,2015-01-08T05:00:00+00:00,2024-08-09T04:00:00+00:00,,,,,,,,,,,,,
